"key","source","Translation"
"AslGuad_a_Suspicious_Enter_01_Loca2","Hm hmm?","Хмм?"
"AslGuad_a_Suspicious_Enter_02_Loca1","AslGuad_a_Suspicious_Enter_02_Loca1",""
"AslGuad_a_Suspicious_Enter_02_Loca2","Huh?","Га?"
"AslGuad_a_Vigilant_Enter_00_Loca1","AslGuad_a_Vigilant_Enter_00_Loca1",""
"AslGuad_a_Vigilant_Enter_00_Loca2","You won't get away that easy.","Тобі це так просто не минеться."
"AslGuad_a_Vigilant_Enter_01_Loca1","AslGuad_a_Vigilant_Enter_01_Loca1",""
"AslGuad_a_Vigilant_Enter_01_Loca2","Wait till I get my hands on you...","Зачекай, тільки-но я до тебе доберуся..."
"AslGuad_a_Vigilant_Enter_02_Loca1","AslGuad_a_Vigilant_Enter_02_Loca1",""
"AslGuad_a_Vigilant_Enter_02_Loca2","There's somebody there. I know it.","Там хтось є. Я впевнений."
"AslGuad_a_Vigilant_Roaming_00_Loca1","AslGuad_a_Vigilant_Roaming_00_Loca1",""
"AslGuad_a_Vigilant_Roaming_00_Loca2","I'll find you sooner or later.","Я знайду тебе рано чи пізно."
"AslGuad_a_Vigilant_Roaming_01_Loca1","AslGuad_a_Vigilant_Roaming_01_Loca1",""
"AslGuad_a_Vigilant_Roaming_01_Loca2","You'll regret not showing yourself.","Дарма ховаєшся. Ще пожалкуєш про це."
"AslGuad_a_Vigilant_Roaming_02_Loca1","AslGuad_a_Vigilant_Roaming_02_Loca1",""
"AslGuad_a_Vigilant_Roaming_02_Loca2","There's no way out... Show yourself!","Звідси не втікти... Покажися!"
"AslGuad_b_Alert_Enter_00_Loca1","AslGuad_b_Alert_Enter_00_Loca1",""
"AslGuad_b_Alert_Enter_00_Loca2","Hey!","Агов!"
"AslGuad_b_Alert_Enter_01_Loca1","AslGuad_b_Alert_Enter_01_Loca1",""
"AslGuad_b_Alert_Enter_01_Loca2","You, there!","Гей, ти!"
"AslGuad_b_Alert_Enter_02_Loca1","AslGuad_b_Alert_Enter_02_Loca1",""
"AslGuad_b_Alert_Enter_02_Loca2","This way!","Сюди!"
"AslGuad_b_Alert_Roaming_00_Loca1","AslGuad_b_Alert_Roaming_00_Loca1",""
"AslGuad_b_Alert_Roaming_00_Loca2","You won't get far!","Тобі далеко не втекти!"
"AslGuad_b_Alert_Roaming_01_Loca1","AslGuad_b_Alert_Roaming_01_Loca1",""
"AslGuad_b_Alert_Roaming_01_Loca2","Just you wait!","От тільки попадись мені!"
"AslGuad_b_Alert_Roaming_02_Loca1","AslGuad_b_Alert_Roaming_02_Loca1",""
"AslGuad_b_Alert_Roaming_02_Loca2","Come out of your hiding hole!","Вилазь зі своєї нори!"
"AslGuad_b_Catch_00_Loca1","AslGuad_b_Catch_00_Loca1",""
"AslGuad_b_Catch_00_Loca2","I've got you!","Ось ти й попався"
"AslGuad_b_Catch_01_Loca1","AslGuad_b_Catch_01_Loca1",""
"AslGuad_b_Catch_01_Loca2","The walk is over!","Прогулянка закінчилася!"
"AslGuad_b_Catch_02_Loca1","AslGuad_b_Catch_02_Loca1",""
"AslGuad_b_Catch_02_Loca2","I've got him!","Я схопив його!"
"AslGuad_b_Catch_Drawer_Loca1","AslGuad_b_Catch_Drawer_Loca1",""
"AslGuad_b_Catch_Drawer_Loca2","Found you!","Знайшов!"
"AslGuad_b_Search_Enter_00_Loca1","AslGuad_b_Search_Enter_00_Loca1",""
"AslGuad_b_Search_Enter_00_Loca2","I think we've got a walker!","Схоже, тут хтось швендяє!"
"AslGuad_b_Search_Enter_01_Loca1","AslGuad_b_Search_Enter_01_Loca1",""
"AslGuad_b_Search_Enter_01_Loca2","Who's there?","Хто там?"
"AslGuad_b_Search_Enter_02_Loca1","AslGuad_b_Search_Enter_02_Loca1",""
"AslGuad_b_Search_Enter_02_Loca2","I'll go take a look.","Піду подивлюся."
"AslGuad_b_Search_Roaming_00_Loca1","AslGuad_b_Search_Roaming_00_Loca1",""
"AslGuad_b_Search_Roaming_00_Loca2","Is there anybody round here?","Хто там?"
"AslGuad_b_Search_Roaming_01_Loca1","AslGuad_b_Search_Roaming_01_Loca1",""
"AslGuad_b_Search_Roaming_01_Loca2","Come on, show yourself!","Ну ж бо, покажися!"
"AslGuad_b_Search_Roaming_02_Loca1","AslGuad_b_Search_Roaming_02_Loca1",""
"AslGuad_b_Search_Roaming_02_Loca2","I saw something over there.","Я щось бачив там."
"AslGuad_b_Suspicious_Enter_00_Loca1","AslGuad_b_Suspicious_Enter_00_Loca1",""
"AslGuad_b_Suspicious_Enter_00_Loca2","What...?","Що...?"
"AslGuad_b_Suspicious_Enter_01_Loca1","AslGuad_b_Suspicious_Enter_01_Loca1",""
"AslGuad_b_Suspicious_Enter_01_Loca2","Hm hmm?","Хмм?"
"AslGuad_b_Suspicious_Enter_02_Loca1","AslGuad_b_Suspicious_Enter_02_Loca1",""
"AslGuad_b_Suspicious_Enter_02_Loca2","Huh?","Га?"
"AslGuad_b_Vigilant_Enter_00_Loca1","AslGuad_b_Vigilant_Enter_00_Loca1",""
"AslGuad_b_Vigilant_Enter_00_Loca2","You won't get away that easy.","Тобі це так просто не минеться."
"AslGuad_b_Vigilant_Enter_01_Loca1","AslGuad_b_Vigilant_Enter_01_Loca1",""
"AslGuad_b_Vigilant_Enter_01_Loca2","Wait till I get my hands on you...","Зачекай, тільки-но я до тебе доберуся..."
"AslGuad_b_Vigilant_Enter_02_Loca1","AslGuad_b_Vigilant_Enter_02_Loca1",""
"AslGuad_b_Vigilant_Enter_02_Loca2","There's somebody there. I know it.","Там хтось є. Я впевнений."
"AslGuad_b_Vigilant_Roaming_00_Loca1","AslGuad_b_Vigilant_Roaming_00_Loca1",""
"AslGuad_b_Vigilant_Roaming_00_Loca2","I'll find you sooner or later.","Я знайду тебе рано чи пізно."
"AslGuad_b_Vigilant_Roaming_01_Loca1","AslGuad_b_Vigilant_Roaming_01_Loca1",""
"AslGuad_b_Vigilant_Roaming_01_Loca2","You'll regret not showing yourself.","Дарма ховаєшся. Ще пожалкуєш про це."
"AslGuad_b_Vigilant_Roaming_02_Loca1","AslGuad_b_Vigilant_Roaming_02_Loca1",""
"AslGuad_b_Vigilant_Roaming_02_Loca2","There's no way out... Show yourself!","Звідси не втікти... Покажися!"
"AslGuad_c_Alert_Enter_00_Loca1","AslGuad_c_Alert_Enter_00_Loca1",""
"AslGuad_c_Alert_Enter_00_Loca2","Hey!","Агов!"
"AslGuad_c_Alert_Enter_01_Loca1","AslGuad_c_Alert_Enter_01_Loca1",""
"AslGuad_c_Alert_Enter_01_Loca2","You, there!","Гей, ти!"
"AslGuad_c_Alert_Enter_02_Loca1","AslGuad_c_Alert_Enter_02_Loca1",""
"AslGuad_c_Alert_Enter_02_Loca2","This way!","Сюди!"
"AslGuad_c_Alert_Roaming_00_Loca1","AslGuad_c_Alert_Roaming_00_Loca1",""
"AslGuad_c_Alert_Roaming_00_Loca2","You won't get far!","Тобі далеко не втекти!"
"AslGuad_c_Alert_Roaming_01_Loca1","AslGuad_c_Alert_Roaming_01_Loca1",""
"AslGuad_c_Alert_Roaming_02_Loca2","Come out of your hiding hole!","Вилазь зі своєї нори!"
"AslGuad_c_Catch_00_Loca1","AslGuad_c_Catch_00_Loca1",""
"AslGuad_c_Catch_00_Loca2","I've got you!","Ось ти й попався!"
"AslGuad_c_Catch_01_Loca1","AslGuad_c_Catch_01_Loca1",""
"AslGuad_c_Catch_01_Loca2","The walk is over!","Прогулянка закінчилася!"
"AslGuad_c_Catch_02_Loca1","AslGuad_c_Catch_02_Loca1",""
"AslGuad_c_Catch_02_Loca2","I've got him!","Я схопив його!"
"AslGuad_c_Catch_Drawer_Loca1","AslGuad_c_Catch_Drawer_Loca1",""
"AslGuad_c_Catch_Drawer_Loca2","Found you!","Знайшов!"
"AslGuad_c_Search_Enter_00_Loca1","AslGuad_c_Search_Enter_00_Loca1",""
"AslGuad_c_Search_Enter_00_Loca2","I think we've got a walker!","Схоже, тут хтось швендяє!"
"AslGuad_c_Search_Enter_01_Loca1","AslGuad_c_Search_Enter_01_Loca1",""
"AslGuad_c_Search_Enter_01_Loca2","Who's there?","Хто там?"
"AslGuad_c_Search_Enter_02_Loca1","AslGuad_c_Search_Enter_02_Loca1",""
"AslGuad_c_Search_Enter_02_Loca2","I'll go take a look.","Піду подивлюся."
"AslGuad_c_Search_Roaming_00_Loca1","AslGuad_c_Search_Roaming_00_Loca1",""
"AslGuad_c_Search_Roaming_00_Loca2","Is there anybody round here?","Хто там?"
"AslGuad_c_Search_Roaming_01_Loca1","AslGuad_c_Search_Roaming_01_Loca1",""
"AslGuad_c_Search_Roaming_01_Loca2","Come on, show yourself!","Ну ж бо, покажися!"
"AslGuad_c_Search_Roaming_02_Loca1","AslGuad_c_Search_Roaming_02_Loca1",""
"AslGuad_c_Search_Roaming_02_Loca2","I saw something over there.","Я щось бачив там."
"AslGuad_c_Suspicious_Enter_00_Loca1","AslGuad_c_Suspicious_Enter_00_Loca1",""
"AslGuad_c_Suspicious_Enter_00_Loca2","What...?","Що...?"
"AslGuad_c_Suspicious_Enter_01_Loca1","AslGuad_c_Suspicious_Enter_01_Loca1",""
"AslGuad_c_Suspicious_Enter_01_Loca2","Hm hmm?","Хмм?"
"AslGuad_c_Suspicious_Enter_02_Loca1","AslGuad_c_Suspicious_Enter_02_Loca1",""
"AslGuad_c_Suspicious_Enter_02_Loca2","Huh?","Га?"
"AslGuad_c_Vigilant_Enter_00_Loca1","AslGuad_c_Vigilant_Enter_00_Loca1",""
"AslGuad_c_Vigilant_Enter_00_Loca2","You won't get away that easy.","Тобі це так просто не минеться."
"AslGuad_c_Vigilant_Enter_01_Loca1","AslGuad_c_Vigilant_Enter_01_Loca1",""
"AslGuad_c_Vigilant_Enter_01_Loca2","Wait till I get my hands on you...","Зачекай, тільки-но я до тебе доберуся..."
"AslGuad_c_Vigilant_Enter_02_Loca1","AslGuad_c_Vigilant_Enter_02_Loca1",""
"AslGuad_c_Vigilant_Enter_02_Loca2","There's somebody there. I know it.","Там хтось є. Я впевнений."
"AslGuad_c_Vigilant_Roaming_00_Loca1","AslGuad_c_Vigilant_Roaming_00_Loca1",""
"AslGuad_c_Vigilant_Roaming_00_Loca2","I'll find you sooner or later.","Я знайду тебе рано чи пізно."
"AslGuad_c_Vigilant_Roaming_01_Loca1","AslGuad_c_Vigilant_Roaming_01_Loca1",""
"AslGuad_c_Vigilant_Roaming_01_Loca2","You'll regret not showing yourself.","Дарма ховаєшся. Ще пожалкуєш про це."
"AslGuad_c_Vigilant_Roaming_02_Loca1","AslGuad_c_Vigilant_Roaming_02_Loca1",""
"AslGuad_c_Vigilant_Roaming_02_Loca2","There's no way out... Show yourself!","Звідси не втікти... Покажися!"
"AslGuad_d_Alert_Enter_00_Loca1","AslGuad_d_Alert_Enter_00_Loca1",""
"AslGuad_d_Alert_Enter_00_Loca2","Hey!","Агов!"
"AslGuad_d_Alert_Enter_01_Loca1","AslGuad_d_Alert_Enter_01_Loca1",""
"AslGuad_d_Alert_Enter_01_Loca2","You, there!","Гей, ти!"
"AslGuad_d_Alert_Enter_02_Loca1","AslGuad_d_Alert_Enter_02_Loca1",""
"AslGuad_d_Alert_Enter_02_Loca2","This way!","Сюди!"
"AslGuad_d_Alert_Roaming_00_Loca1","AslGuad_d_Alert_Roaming_00_Loca1",""
"AslGuad_d_Alert_Roaming_00_Loca2","You won't get far!","Тобі далеко не втекти!"
"AslGuad_d_Alert_Roaming_00_Loca1","AslGuad_d_Alert_Roaming_00_Loca1",""
"AslGuad_d_Alert_Roaming_00_Loca2","You won't get far!","Тобі далеко не втекти!"
"AslGuad_d_Alert_Roaming_01_Loca1","AslGuad_d_Alert_Roaming_01_Loca1",""
"AslGuad_d_Alert_Roaming_01_Loca2","Just you wait!","От тільки попадись мені!"
"AslGuad_d_Alert_Roaming_02_Loca1","AslGuad_d_Alert_Roaming_02_Loca1",""
"AslGuad_d_Alert_Roaming_02_Loca2","Come out of your hiding hole!","Вилазь зі своєї нори!"
"AslGuad_d_Catch_00_Loca1","AslGuad_d_Catch_00_Loca1",""
"AslGuad_d_Catch_00_Loca2","I've got you!","Ось ти й попався!"
"AslGuad_d_Catch_01_Loca1","AslGuad_d_Catch_01_Loca1",""
"AslGuad_d_Catch_01_Loca2","The walk is over!","Прогулянка закінчилася!"
"AslGuad_d_Catch_02_Loca1","AslGuad_d_Catch_02_Loca1",""
"AslGuad_d_Catch_02_Loca2","I've got him!","Я схопив його!"
"AslGuad_d_Catch_Drawer_Loca1","AslGuad_d_Catch_Drawer_Loca1",""
"AslGuad_d_Catch_Drawer_Loca2","Found you!","Знайшов!"
"AslGuad_d_Search_Enter_00_Loca1","AslGuad_d_Search_Enter_00_Loca1",""
"AslGuad_d_Search_Enter_00_Loca2","I think we've got a walker!","Схоже, тут хтось швендяє!"
"AslGuad_d_Search_Enter_01_Loca1","AslGuad_d_Search_Enter_01_Loca1",""
"AslGuad_d_Search_Enter_01_Loca2","Who's there?","Хто там?"
"AslGuad_d_Search_Enter_02_Loca1","AslGuad_d_Search_Enter_02_Loca1",""
"AslGuad_d_Search_Enter_02_Loca2","I'll go take a look.","Піду подивлюся."
"AslGuad_d_Search_Roaming_00_Loca1","AslGuad_d_Search_Roaming_00_Loca1",""
"AslGuad_d_Search_Roaming_00_Loca2","Is there anybody round here?","Хто там?"
"AslGuad_d_Search_Roaming_01_Loca1","AslGuad_d_Search_Roaming_01_Loca1",""
"AslGuad_d_Search_Roaming_01_Loca2","Come on, show yourself!","Ну ж бо, покажися!"
"AslGuad_d_Search_Roaming_02_Loca1","AslGuad_d_Search_Roaming_02_Loca1",""
"AslGuad_d_Search_Roaming_02_Loca2","I saw something over there.","Я щось бачив там."
"AslGuad_d_Suspicious_Enter_00_Loca1","AslGuad_d_Suspicious_Enter_00_Loca1",""
"AslGuad_d_Suspicious_Enter_00_Loca2","What...?","Що...?"
"AslGuad_d_Suspicious_Enter_01_Loca1","AslGuad_d_Suspicious_Enter_01_Loca1",""
"AslGuad_d_Suspicious_Enter_01_Loca2","Hm hmm?","Хмм?"
"AslGuad_d_Suspicious_Enter_02_Loca1","AslGuad_d_Suspicious_Enter_02_Loca1",""
"AslGuad_d_Suspicious_Enter_02_Loca2","Huh?","Га?"
"AslGuad_d_Vigilant_Enter_00_Loca1","AslGuad_d_Vigilant_Enter_00_Loca1",""
"AslGuad_d_Vigilant_Enter_00_Loca2","You won't get away that easy.","Тобі це так просто не минеться."
"AslGuad_d_Vigilant_Enter_01_Loca1","AslGuad_d_Vigilant_Enter_01_Loca1",""
"AslGuad_d_Vigilant_Enter_01_Loca2","Wait till I get my hands on you...","Зачекай, тільки-но я до тебе доберуся..."
"AslGuad_d_Vigilant_Enter_02_Loca1","AslGuad_d_Vigilant_Enter_02_Loca1",""
"AslGuad_d_Vigilant_Enter_02_Loca2","There's somebody there. I know it.","Там хтось є. Я впевнений."
"AslGuad_d_Vigilant_Roaming_00_Loca1","AslGuad_d_Vigilant_Roaming_00_Loca1",""
"AslGuad_d_Vigilant_Roaming_00_Loca2","I'll find you sooner or later.","Я знайду тебе рано чи пізно."
"AslGuad_d_Vigilant_Roaming_01_Loca1","AslGuad_d_Vigilant_Roaming_01_Loca1",""
"AslGuad_d_Vigilant_Roaming_01_Loca2","You'll regret not showing yourself.","Дарма ховаєшся. Ще пожалкуєш про це."
"AslGuad_d_Vigilant_Roaming_02_Loca1","AslGuad_d_Vigilant_Roaming_02_Loca1",""
"AslGuad_d_Vigilant_Roaming_02_Loca2","There's no way out... Show yourself!","Звідси не втікти... Покажися!"
"GEN_AboutFakeDoor_Loca1","GEN_AboutFakeDoor_Loca1",""
"GEN_AboutFakeDoor_Loca2","Locked…","Замкнено..."
"GEN_BlockInteract_1_Loca1","GEN_BlockInteract_1_Loca1",""
"GEN_BlockInteract_1_Loca2","Not now.","Не зараз."
"GEN_BlockInteract_2_Loca1","GEN_BlockInteract_2_Loca1",""
"GEN_BlockInteract_2_Loca2","This isn’t the time right now.","Зараз не час для цього."
"GEN_BlockInteract_3_Loca1","GEN_BlockInteract_3_Loca1",""
"GEN_BlockInteract_3_Loca2","No, not now!","Ні, тільки не зараз!"
"GEN_BlockInteract_4_Loca1","GEN_BlockInteract_4_Loca1",""
"GEN_BlockInteract_4_Loca2","I don’t have time for this.","Немає на це часу."
