"key","source","Translation"
"3B489C014680E9F469F12381A1E17E55","inmate","Пацієнт"
"2B80980E4FEF3B3A344C859675834DF2","Stranger","Незнайомець"
"2862DCB4471DB0A4566B039B3AE38C1D","Unknown","Невідомо"
"818720C545A591D4D3D710932A1984DB","{FemaleAssociate_Explorer_Name} is one of Webster’s contact. She is a bright young woman who decides to give her time to help an acquaintance in his quest of seeking peace. As long as she does not find herself in my way and do what I say it will be ok for me. Even if I prefer working alone.","{FemaleAssociate_Explorer_Name} одна з контактів Вебстера. Це яскрава молода жінка, яка вирішила присвятити свій час, щоб допомогти знайомому в його пошуках миру. Поки вона не стає на моєму шляху і робить те, що я кажу, мене це влаштовує. Навіть якщо я вважаю за краще працювати на самоті."
"9A98EAD649F3752E39BEAEAAE818871C","{FemaleAssociate_Explorer_FullName}","{FemaleAssociate_Explorer_FullName}"
"CC41D61D4B47C42798F581B35F25AA26","Explorer","Дослідниця"
"7F0B7C554552AEEED83BCDB6557B5106","A wealthy businessman, well respected in the Boston area. <lf>Stephen Webster came to see me in order that I investigate the death of his only daughter, Sarah Hawkins. The man accepts neither refusals nor inconvenient truths. <lf>He is ready to do anything to prove that his daughter was not mad.","Заможний бізнесмен, якого дуже поважають у Бостоні.<lf>Стівен Вебстер прийшов до мене, щоб я розслідував смерть його єдиної доньки Сари Гокінс. Цей чоловік не приймає ні відмов, ні незручної правди.<lf>Він готовий на все, аби довести, що його донька не була божевільною."
"ABC4A3C74EA0027CF41AC5ACAEC88A42","Stephen Webster","Стівен Вебстер"
"AF98FCEA4C0238EA26E1CE8CE3E18FEE","Businessman","Бізнесмен"
"F2608EF845C1A2B51E86A0A204B29A72","Fisherman","Рибалка"
"4D22DB284CFF0D68F5A874A601DDF7DC","Fisherman","Рибалка"
"6F5B5C0F47B9EE7F02AEEA94FE9D208E","Foreman","Майстер"
"12208F5D424DC4493898CE9C47EC9955","McSweeney","МакСвіні"
"A66461544C8272764C70FA9958CEF675","Garrett","Ґарретт"
"4F80545F4920B71C61120CB5F4EEFD8A","Mrs Donovan","Пані Донован"
"039D4931446637EC0D375FBF5C8E841F","Head Nurse","Старша медсестра"
"98D1342A4B289E57FA891496555705B7","Nurse","Медсестра"
"027C01BE4924B010D5B32AA7285D9891","Nurse","Медсестра"
"1C0AC8B24B2A05310146E5B1E7C76DB0","Charles Hawkins was a local celebrity on Darkwater. The heir of a shipowner family, he used to travel a lot. He met Sarah Hawkins during a trip in Paris. They fell in love, got married, and Hawkins took her to the remote island of Darkwater.<lf>They had a child named Simon, and lived a very secretive life.","Чарльз Гокінс був місцевою знаменитістю в Дарквотері. Спадкоємець родини судновласників, він багато подорожував. Під час поїздки до Парижа він зустрів Сару Гокінс. Вони закохалися, одружилися, і Гокінс забрав її на віддалений острів Дарквотер.<lf>В них народився син на ім’я Саймон, і вони вели дуже потайливе життя."
"61AA1FEB47A266F1B3EE709B52A95F86","Charles Hawkins","Чарльз Гокінс"
"F02F2DC04B1CF884F4F3A4A5566780CB","Ship-owner","Судновласник"
"ED11EC224D3A2D900439C1B2C1150A5D","Leviathan","Левіафан"
"A529C0754A9788E94BE214BCFB7D161C","Sea God","Морський бог"
"6FAFDCF0493DEAFF85E57DA3CB8E1504","Miss Quinn","Міс Квінн"
"FC3F91E14452FC977CA3078397DB1247","Chief Nurse","Старша медсестра"
"9CB9E3274D7E0AF87C9F6EB2762DC5DE","Margaret Lynch","Маргарет Лінч"
"BD4DE5BB47A28240437875A8D7C84F23","Nurse","Медсестра"
"98F8FE8D487133908B1F8E972E6A26DF","Officer Bradley's female friend works as general practitioner at the Riverside Institute. She had figured out, long before I arrived, that Fuller was involved in illegal activities. She wants to shed full light on the nature of his experiments, and believes that helping me to solve the Hawkins case could advance her own investigation.","Подруга офіцера Бредлі працює терапевтом у Інституті Ріверсайд. Вона з'ясувала задовго до мого приїзду, що Фуллер займається незаконною діяльністю. Вона хоче пролити повне світло на природу його експериментів і вважає, що допомога мені в розкритті справи Гокінса може просунути її власне розслідування."
"E479BC9B48CB1FE989AFCBAFBA65D039","Marie Colden","Мері Колден"
"D349B9674E4CC08DBC28E0ABF539BBCA","Doctor","Докторка"
"BE61B68F49E1AA7C8678B3829ED4F00A","Albert","Альберт"
"89A49C4A42D88120C2525BBBE31CFA81","Patient","Пацієнт"
"0DC76C5D4E1E3104A743E88349D218D7","Patient","Пацієнт"
"432657154DFD7B546192639C93F2E6F1","Patient","Пацієнт"
"A8CBD2704CE54E9941B3B7AF0807D562","Patient","Пацієнт"
"CF78C3F6433D83A7DD11EA87FC0D79DA","Patient","Пацієнт"
"45CAF6F246F27FE9E63936AAC0AB8246","{Photographer_Name} is a French reporter for the newspaper “La Gazette” during the war. If he has seen at least half of what I seen and didn’t lose hope in humanity maybe he can be the man up for the task. I need people with a strong heart to help me in my investigation.","{Photographer_Name} Французький репортер газети «La Gazette» під час війни. Якщо він бачив хоча б половину того, що бачив я, і не втратив надію на людяність, можливо, він може стати тією людиною, яка зможе впоратися з цим завданням. Мені потрібні люди з сильним серцем, які допоможуть мені в моєму розслідуванні."
"16D1748642E24364F0D6818DE3575C2D","{Photographer_FullName}","{Photographer_FullName}"
"EF8504E34A95F6D44FB3DFA499C5DF3F","Reporter","Репортер"
"83DECE5F49CD1017DEA975B3EDB220E3","Edward Pierce","Едвард Пірс"
"56C4DEBA4E66A8D3F2AFD0BD956C49F3","Private detective","Приватний детектив"
"6EB20E384AB0FB24D06DD3AC16F3941F","Henry West is Darkwater’s chief of police since 1914. He doesn’t like strangers especially the ones who mess with his business, means that he hates my guts.","Генрі Вест — шеф поліції Дарквотера з 1914 року. Він не любить незнайомців, особливо тих, хто втручається в його справи, а це означає, що він ненавидить мене до глибини душі."
"8FF9A5B1462D2077A01D9E9E96C9E90B","Henry West","Генрі Вест"
"3045594A4BF0C836FD9338BEDDD77307","Police Chief","Шеф Поліції"
"C64A3D2F47271B03F430EFB789427171","This hick cop likes order and justice. He's no great sleuth, but he seems more inclined than his colleagues to discover the truth in the Hawkins case. The inhabitants of the island seem to be friendly with him; he could help me in my investigation.","Цей провінційний коп любить порядок і справедливість. Він не великий сищик, але, здається, більше, ніж його колеги, прагне знайти правду в справі Гокінсів. Мешканці острова, схоже, ставляться до нього приязно; він міг би допомогти мені в моєму розслідуванні."
"1785FE0842922A01C47AD99A156307E2","Officer Bradley","Офіцер Бредлі"
"F0751E714C946828D9E5B38DA4496827","Police Officer","Офіцер Поліції"
"E104D077424814CFC387099FB719E3FA","Officer Marshall","Офіцер Маршалл"
"42FC034A497F09F1D96E2B8F8F533C5B","Officer Andrews","Офіцер Ендрюс"
"FE4388CE4405805B8ECE4499A1D5A83C","Officer Sullivan","Офіцер Саліван"
"446B0B414DDDF362967E4491A8400AB7","Police Officer","Офіцер Поліції"
"CD58AC07406B3B258FE69289C38ECB01","Madman","Божевільний"
"C4F004CF4720F527D9A7C9BC64BAAF1F","Miss Prince","Міс Прінс"
"20D39A7142CC29DC85A959B75C162300","Fuller's Secretary","Секретарка Фуллера"
"9B3F90934C29748C8B882CA7325F47AE","Murphy is an Irish small business man. He is from Boston like me but I suspect that he is the one behind the alcohol smuggling but it’s not my business.","Мерфі—ірландський малий бізнесмен. Він родом з Бостона, як і я, але я підозрюю, що саме він стоїть за контрабандою алкоголю, але це не моя справа."
"E0DFB5EC4A1AB4CCFE813290AAC70F60","Dominic Murphy","Домінік Мерфі"
"5B3B51EC4B0C16F669D7CAB9E81FE900","Business man","Бізнесмен"
"3EBF149E481E78FBF4CB4EBB1338029D","Bootlegger","Бутлеґер"
"D15B08844762E6D393696595C08D0534","Smuggler","Контрабандист"
"921A2AF34E2D2867B02FAD9778586F13","{Fisherman_Alibi2_Name} Baxter","{Fisherman_Alibi2_Name} Бекстер"
"B47D775240C7CEAD1934369D8850A894","Soldier - First class","Солдат першого класу"
"A04CE68043ABE1D7E46BDD85054D032C","Secretary","Секретарка"
"18CDBFC0419901D9DB03FBB0A364E72B","Secretary","Секретарка"
"C01745AC49D9712BEFC72C860569D98E","Boss of a gang of bootleggers, which seems to use Darkwater as a hideout, Cat always keeps an eye on her territory, the zone of abandoned warehouses on the docks. <lf>I have the impression that all the men on Darkwater fear her. Even Mitchell, the owner of The Stranded Whale, is reluctant to talk about her.<lf>She uses Darkwater as the point of departure for her cargoes of whiskey, and she is slowly gnawing away at Captain Fitzroy's territory.","Очільниця банди бутлеґерів, яка, схоже, використовує Дарквотер як схованку, Кет завжди стежить за своєю територією, зоною покинутих складів у доках.<lf>У мене таке враження, що всі чоловіки в Дарквотері її бояться. Навіть Мітчелл, власник «Кита, що сів на мілину», неохоче говорить про неї.<lf> Вона використовує Дарквотер як відправну точку для своїх партій віскі й потроху відгризає територію капітана Фіцроя."
"42C39DB944E05484D768F38656866CB2","Cat","Кет"
"DB5DDD5D452E74D5DB0D069411320B53","Gang boss","Босиня банди"
"092D26F0421ACE466EBD2083CB795258","Violent inmate","Небезпечний пацієнт"
"6411F9334CDAECDD03B95F98B781212F","Inmate","Пацієнт"
"AF12262B476E22220953F4B0CAB7FB17","Visitor","Відвідувач"
"321040FA491DF3562574438B633D79F1","banker","Банкір"
"7827E4714AB7AFFC30271DB53538F57F","Whaling watchman","Сторож китобійної станції"
"005385714B1CA20D3DF920923E3E3AE5","Watchman","Сторож"
"B107A72A4D33569C388D30B4C6032993","Virgil Hogan","Верджил Гоґан"
"0044B1D941D6BFA29C0C7B8B5A837911","Message recorded by Drake.","Повідомлення записане Дрейком."
"521964C54A0958FBE2789D8B60919922","A cylinder meant to be listened to by using a phonograph. I found it in The Nameless Bookstore. The message, although obscure, might contain important information.","Циліндр, призначений для прослуховування за допомогою фонографа. Я знайшов його в «Безіменній книгарні». Послання, хоч і незрозуміле, але може містити важливу інформацію."
"EDE730C046239334BD4E49811A034804","Message recorded by Drake.","Повідомлення записане Дрейком."
"FFBBA98644970840C562DB9184A7E0C2","Drake's cylinder 2","Циліндр Дрейка 2"
"E9A84C61454989BFA33360A4D3FE2754","A cylinder meant to be listened to by using a phonograph. I found it in The Nameless Bookstore. The message, although obscure, might contain important information.","Циліндр, призначений для прослуховування за допомогою фонографа. Я знайшов його в «Безіменній книгарні». Послання, хоч і незрозуміле, але може містити важливу інформацію."
"257D1B7A45024C05D91565914842F694","Message recorded by Drake.","Повідомлення записане Дрейком."
"DBA156F84099ECE7F16031807D299C84","Drake's cylinder 3","Циліндр Дрейка 3"
"3F43F5634583B851439D8A829B7E1452","A cylinder meant to be listened to by using a phonograph. I found it in The Nameless Bookstore. The message, although obscure, might contain important information.","Циліндр, призначений для прослуховування за допомогою фонографа. Я знайшов його в «Безіменній книгарні». Послання, хоч і незрозуміле, але може містити важливу інформацію."
"DATE_FORMAT","{1} {0} {2}","{1} {0} {2}"
"08B9924541C5D48B9A60FA810419CC28","Open","Відкрити"
"479E8F34472315F3CB11A3A70DFEB947","Open","Відкрити"
"E0B3CA164FB134F5A519ADAB49D0FA9E","Open","Відкрити"
"E0C222154669A67C316962ACFA130AEA","Open","Відкрити"
"0670D9584B836D603970CABA892A7FBD","Pick","Вибрати"
"3ADC8F3F4A6DD39872A542B0BBE419A7","Pick","Вибрати"
"4B476172470D5F2C9A6955A76C6116C7","Pick","Вибрати"
"51458DA94CAB27D9864BE197B368D5E0","Pick","Вибрати"
"66F3C5E741F17744CB7E16B6ED48E5B5","Pick","Вибрати"
"6FC37BA44ED6129585C26DB018C95F27","Pick","Вибрати"
"720113C842D4B29D924FDEAB11669129","Pick","Вибрати"
"77E2F04E449224BAB7AF19BA9BD88E0A","Pick","Вибрати"
"8C433E1B45336F015DFFC4B6FE5FB871","Pick","Вибрати"
"D83DF0524D042827DE9E568F87DB4669","Pick","Вибрати"
"ED1BDF494E191E7CF55ADEA41481ECF6","Pick","Вибрати"
"F971E99245E72A5B2FDAF68B3F7236AC","Pick","Вибрати"
"5E7BA5124D9ACF9E2565F7B3F62AB973","Sarah and Charles had a violent argument and Sarah threw this lamp in a burst of rage. What could have been the reason for such violence? This wasn't just the result of a burst of rage. What if Charles was the one responsible? How could the Police not see all of this? Someone is hiding something.","Сара і Чарльз сильно посварилися, і в пориві гніву Сара кинула цю лампу. Що могло стати причиною такої жорстокості? Це не було просто наслідком пориву гніву. Що, якби Чарльз був єдиним винним? Як поліція могла цього не помітити? Хтось щось приховує."
"2850B6A54F5BBA681CFA6BBFCA6DFE3A","The entire Hawkins family died that night in the fire. It seems that Sarah threw and shattered the lamp that triggered the fire. I have to find out what drove her to the act.","Уся сім'я Гокінсів загинула через пожежу тієї ночі. Схоже, що Сара кинула і розбила лампу, яка спричинила пожежу. Я маю з'ясувати, що штовхнуло її на цей вчинок."
"1E7D06E642137B242AEBB0BB3EC870B9","It seems clear that the fire wasn’t accidental. There has been a violent dispute between the Hawkins spouses, with Simon as a witness. Was Sarah’s dementia the cause of this, or was it something else? How could the police detectives neglect all these clues?","Очевидно, що пожежа не була випадковою. Між подружжям Гокінсів відбулася сильна суперечка, свідком якої був Саймон. Чи була причиною цього деменція Сари, чи щось інше? Як поліцейські могли знехтувати всіма цими доказами?"
"5312A1C141000AE9ECD06892E483FEDE","A brand new battery","Новий акумулятор"
"127C633C4BCFCE5D9401CDACB8FBA604","A brand new battery, it might come in handy","Новий акумулятор, може стати в нагоді"
"1260DE3A45E500B0A74740B764DF862C","Battery","Акумулятор"
"14CC57094686A175A4A4F1A6C7508F03","One page from the boy's diary, it's partly burnt. It seems that there are others.","Одна сторінка з щоденника хлопчика, вона частково обгоріла. Схоже, що є й інші."
"DBA5A08646D792F0EC8D04AE3FE68C09","August, the 2nd 1924I HATE MY STEP DAD.I hate his stupid beard and I hate this stupid island. I only like Miss Turner, she smells nice. Beardy smells rotten, like old fish.I took something from him. He’ll never find it, it’s my treasure now.I don’t think he loves Mom. He only loves her paintings. He talks about them all the time. He spends more time looking at her paintings than reading all those great books we have.Too bad for him, he might have found something interesting between the two monsters of the deep.”","2-ге серпня 1924 року Я НЕНАВИДЖУ СВОГО ВІТЧИМА. Ненавиджу його дурну бороду й цей дурний острів. Єдина, хто мені подобається — це міс Тернер, вона гарно пахне. А Бородань смердить гниллю, як стара риба. Я щось у нього поцупив. Він ніколи цього не знайде — тепер це мій скарб. Я не думаю, що він любить маму. Він любить лише її картини. Постійно про них говорить. Він більше часу проводить, розглядаючи її картини, ніж читаючи всі ті круті книжки, що в нас є. Шкода його. Міг би знайти щось цікаве між двома монстрами глибини."
"EDF2C62341007CDDA66E05BB7A6AF5F5","Simon's diary page 1","Щоденник Саймона, сторінка 1"
"46E9623742893FD1DECBA79E43C0F814","Another page of the boy's diary, it looks like he didn't like his step-father. He also talked about a pendant, maybe I can find it.","Ще одна сторінка щоденника хлопчика, схоже, він не любив свого вітчима. Він також говорив про кулон, можливо, я зможу його знайти."
"B7DEC9234AE879C86CFB66957F21FA8F","August, the 7th 1924My Mom is sad, again… I tried to cheer her up but she was too sad…She is upset about Beardy AGAIN…This morning he yelled at her about his missing pendant. I feel a bit bad, it’s not her fault, but I won’t give it back.He’s such a strange man. I tried to follow him yesterday, but he vanished when I entered his study. He is like a ghost. You see him one minute and the next minute he is gone…From the threshold I hide in opposition to the family reunion.","7-ме серпня 1924 року Моя мама знову сумує… Я намагався її розвеселити, але вона була надто засмучена… Вона знову засмучена через Бороданя… Сьогодні вранці він накричав на неї через свій зниклий кулон. Мені трохи шкода її, це ж не її провина, але я не віддам його назад. Він такий дивний чоловік. Учора я спробував стежити за ним, але він зник, щойно я увійшов до його кабінету. Він як привид. Бачиш його в одну мить — і вже в наступну його немає… Я стою на порозі, не приймаючи участі в родинному «возз'єднанні»."
"5175166146EFB4151BE5B08A3E2B1C58","Simon's diary page 2","Щоденник Саймона, сторінка 2"
"9AC13DBC439EDC14D3D868A830DD633C","The boy is talking about some strange voices. In these old mansions you can literally hear through the walls.","Хлопець розповідає про якісь дивні голоси. У таких старих маєтках можна буквально чути через стіни."
"97691BBF42A00CF9A2C92EBBB0A0D9D7","August, the 13th 1924Last night I couldn’t sleep. I heard strange voices coming from downstairs. I went to the library, the chanting seemed to come from the study. I couldn’t understand what they were saying, they sounded really weird.I talked to Silas about it but he always has crazy theories. He told me that those strange chants are the voices of the deep sea creatures that live under the island. That’s just stupid. He must think I’m a little kid.I did find a sunken panel on the wall next to the bookcase. There’s a symbol on it, it looks like the pendant I have stolen from Beardy but it doesn’t quite fit, something is missing.Anyway he will never understand, so here I stand between a meadow and a sunset.","13-те серпня 1924 року Минулої ночі я не міг заснути. Я чув дивні голоси, що лунали знизу. Я пішов до бібліотеки — здається, співи доносились з кабінету. Я не розумів, що вони казали — звучали справді дивно. Я поговорив про це з Сайласом, але в нього завжди якісь божевільні теорії. Він сказав, що ці дивні співи — це голоси глибоководних істот, які живуть під островом. Ну й дурня. Напевно, він думає, що я ще зовсім дитина. Але я таки знайшов щось —  панель схована в стіні біля книжкової шафи. На ній був символ — схожий на той кулон, який я вкрав у Бороданя, але він не зовсім підходить… чогось бракує. У будь-якому разі, він ніколи нічого не зрозуміє. А я ось стою між галявиною і заходом сонця."
"984A3F1C4E9C6FB4557279A3F0DC73E0","Simon's diary page 3","Щоденник Саймона, сторінка 3"
"7A4346204A20C690C35A6B81A6F648B5","I should take a look at Sarah's studio she seems to spend a lot of time there.","Треба заглянути в майстерню Сари, вона, здається, проводить там багато часу."
